id,cltv
89393,77264.76779069881
89394,99883.61575559809
89395,84984.96496725157
89396,77932.64689049742
89397,108123.49089868051
89398,92586.11481024371
89399,41870.7311322667
89400,84858.82023256629
89401,44304.64922067405
89402,112835.5883772673
89403,113565.75013322412
89404,78422.05593902836
89405,45791.57563313696
89406,45088.12320131205
89407,46039.610057530976
89408,98352.38996996541
89409,98673.61394066071
89410,101846.03272858952
89411,97365.48780868849
89412,105012.66468551241
89413,104380.475804892
89414,44341.86942600158
89415,44340.05478419444
89416,98068.17748479017
89417,102323.55444348029
89418,84514.48589951845
89419,46453.59715239196
89420,100571.69974272419
89421,100872.19518412394
89422,87838.91015039502
89423,108069.53606674312
89424,46465.691809358665
89425,90186.3312465517
89426,102135.31993593057
89427,82966.23346056184
89428,82917.62669688661
89429,84226.61768403069
89430,49025.04398064906
89431,93221.58680197339
89432,93570.16911944104
89433,45772.47694247629
89434,44913.911152334986
89435,46106.278035315256
89436,86782.94949772283
89437,46622.85687927405
89438,100279.9722920938
89439,44532.07343330142
89440,97998.2562948608
89441,104528.87853909803
89442,50186.49009462388
89443,91508.25941462713
89444,54812.32192139417
89445,91089.49179621578
89446,79995.15649633753
89447,95741.08154036944
89448,107034.91114530391
89449,106962.76529091457
89450,100571.65668818796
89451,104134.78293979548
89452,110292.85138976236
89453,98160.81605589135
89454,107034.09882400888
89455,95657.59710875462
89456,98894.4850816877
89457,94512.30173123055
89458,108997.68478153684
89459,92397.72332737473
89460,100661.89425811503
89461,93679.73192278406
89462,78287.23260251872
89463,91927.74226412659
89464,112036.61581319453
89465,117979.86799974281
89466,46311.994952739675
89467,99678.61896654418
89468,45457.75076965922
89469,92900.27925600455
89470,47472.19562940177
89471,109637.13945387363
89472,98603.30166366491
89473,100289.00649788689
89474,102589.84950936452
89475,85653.8176828715
89476,116897.84996470812
89477,45076.24943273404
89478,103889.63606571763
89479,99415.65017257222
89480,87760.83239473883
89481,46966.10731373041
89482,44731.797826133865
89483,92668.66030395235
89484,44304.21355288809
89485,98274.15713770683
89486,102631.64488237642
89487,104725.1427506417
89488,75373.74690002238
89489,46478.1684421584
89490,80117.0069651256
89491,88432.35719927298
89492,86649.5217543536
89493,43624.57023872386
89494,45590.56662223699
89495,83098.91577841075
89496,87239.3823598222
89497,104283.72507387707
89498,88157.31928506227
89499,43503.30667813958
89500,96999.0631044433
89501,47660.78606589585
89502,48375.959555963615
89503,108870.22337927874
89504,108769.03512581595
89505,77752.56927350754
89506,42879.34047663139
89507,100881.86816614823
89508,79322.3263630134
89509,101612.3870007737
89510,45406.30891055924
89511,101604.18500030584
89512,107263.71509736407
89513,93803.95238635219
89514,103025.4986107722
89515,90110.56116812753
89516,41590.801418734976
89517,85154.29567489946
89518,49428.67616502111
89519,105095.24629763284
89520,49474.53546900973
89521,94218.35839463523
89522,46308.40546884922
89523,46602.539952730884
89524,44268.04374209551
89525,84424.2137457458
89526,46512.51118378894
89527,45526.02520050501
89528,78511.64618243722
89529,95110.35867316705
89530,98905.39160112604
89531,100624.43527708895
89532,43244.49683891759
89533,47413.5041436899
89534,88046.74955611303
